file,present
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_506.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_116.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_517.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_243.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_467.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_619.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_49.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_460.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_217.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_185.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_9.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_301.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_59.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_261.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_178.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_192.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_269.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_568.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_321.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_103.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_299.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_129.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_312.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_527.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_498.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_281.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_627.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_175.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_503.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_557.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_443.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_15.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_179.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_32.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_105.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_305.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_249.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_328.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_614.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_39.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_128.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_211.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_600.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_97.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_1.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_422.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_544.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_519.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_251.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_386.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_337.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_99.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_371.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_155.wav,False
/Users/amy/Desktop/new_soundhub/audio/engine/data/neg/engine-neg-engine_426.wav,False
